feature,mean_abs_shap
DayOfWeek,797.8169723285171
Promo,679.5343023397859
StoreType_enc,597.7856575149023
Sales_lag_1,506.12908379796033
Sales_rolling_mean_7,496.18382329116025
Month,346.96045565870463
Sales_rolling_mean_14,203.2006340639776
StateHoliday_enc,196.59945902224476
DayOfYear,126.43817851744625
IsSpring,117.63685210105591
IsWeekend,115.98635241698454
Promo2,58.68563824946625
Sales_rolling_mean_30,56.79923623269434
SchoolHoliday,55.62689450973808
IsAutumn,45.294729710796766
Year,41.67385909493503
Week,39.067862339551155
PromoActive,32.69077247581897
Day,32.62251000481282
Sales_lag_30,18.17298785914337
Sales_rolling_std_7,12.240678110465026
Sales_lag_7,9.095652578705161
Sales_lag_14,7.303600813127534
Sales_rolling_std_14,7.205141130622539
IsSummer,7.168580276721058
Sales_rolling_std_30,5.743054275987618
IsWinter,5.347905034082071
CompetitionOpenMonths,2.158475982651494
CompetitionDistance,1.1705865846693382
Assortment_enc,0.6197987002751131
CompetitionDistanceLog,0.3475770614130557
IsMonthStart,0.33382738772112874
HasCompetition,0.0
IsHolidaySeason,0.0
Quarter,0.0
IsMonthEnd,0.0
